key,file1_value,file2_value
アピールの基本,基础吸引力,魅力的基础
ポーズの基本,基础姿势,姿势的基础
表現の基本,基础表现,表现的基础
アイドル魂,偶像灵魂,偶像之魂
仕切り直し,重新开始,重整架势
お姉ちゃんだもの！,因为是姐姐！,因为是姐姐嘛！
ストレッチ談義,伸展谈义,拉伸交流
花萌ゆ季節,花萌发的季节,花枝萌芽的季节
陽だまりの生徒会室,阳光充足的学生会室,沐浴阳光的学生会室
心のアルバム,心的相簿,心中的相册
ティーパーティ,茶会,茶话会
薄れゆく壁,逐渐消失的墙,逐渐稀薄的壁障
みずたまりスキップ,水洼跳跃,小水洼蹦跳
紅葉ランニング,红叶跑步,红叶下奔跑
愛嬌,亲切感,惹人喜爱
エキサイト,刺激,激动
シュプレヒコール,众口号,齐声应援
決めポーズ,定式姿势,特写姿势
情熱ターン,激情回合,热情转身
スタンドプレー,独立表演,个人表演
立ち位置チェック,位置检查,站位检查
コール＆レスポンス,回应与呼应,呼声与回应
意地っ張り,固执,倔强
初めてのご褒美,第一次奖励,初次的褒奖
初めての地平,第一次地平,初次的境界
初めての色,第一次色彩,初次的色彩
初めてのたのしみ,第一次的乐趣,初次的喜悦
一番は譲らない,不让出第一,不会让出第一
寄り添う気持ち,贴心的感觉,贴近的感受
絶対に負けない,绝对不输,绝对不会输
盛装の華形,盛装之花形,盛装的演者
ワンモアステップ,再一步,再进一步
入道雲と、きみ,积雨云和你,积雨云与你
バスに揺られて,乘坐巴士,随巴士摇晃
はじめてのラムネ,初次饮用汽水,初次的弹珠汽水
悪戯しちゃいますわ！,要作弄您了哦！,要恶作剧了哇！
おすそわけですっ！,分享一下！,分你一份！
ちょちょいのちょい,小魅力,轻而易举
こくりとひとくち,抿一口,轻抿一口
これまでもこれからも,一直以来一直到未来,无论过去还是未来
夢はまだ続く,梦想尚未结束,梦想仍会延续
静かな意志,静默的意志,沉静意志
願いの力,愿望的力量,祈愿的力量
大声援,巨大声援,大声应援
国民的アイドル,国民偶像,国民级偶像
キメ顔で自撮り,摆出帅气脸自拍,帅气表情自拍
切れた鼻緒が結んだ絆,断裂的草鞋带结合的羁绊,断裂的草鞋带，系起的羁绊
喧嘩するほど仲がいい,吵架关系越好,能吵架的好关系
可愛い仕草,可爱动作,可爱的举动
気分転換,换个心情,转换心情
手拍子,拍手,打拍子
ゆるふわおしゃべり,松软闲聊,悠哉闲谈
もう少しだけ,再一下下,还差一点点
キラメキ,闪光,闪耀
みんな大好き,大家最爱,最喜欢大家
輝くキミへ,闪耀的你,献给闪耀的你
元気いっぱい,元气充沛,元气满满
未完の大器,未完成的大器,未完成的大才
初めての場所,初次的地方,初次的位置
よそ見はダメ♪,不能东张西望♪,不许东张西望♪
もう怖くないから,因为已经不怕了,因为不再害怕了
お嬢様の晴れ舞台,小姐的辉煌舞台,大小姐的华丽舞台
絡まる想い,纠缠的思念,交缠的思绪
おっきなおにぎり,大饭团,超大的饭团
金魚すくいで勝負,捞金鱼对决,用捞金鱼一决胜负
月夜のランウェイ,月夜的跑道,月夜的T台
愛を込めて,充满爱意,倾注爱意
さっぱりひといき,清爽一口,清爽一刻
自慢のお姉ちゃんだぞ,得意的姐姐哟,是引以为傲的姐姐哦
エウレカ！,欧雷卡！,尤里卡！
あなたにあげる,给你,送给你
ちいさなおひさま,小太阳,小小太阳
目線の基本,目线的基本,视角的基础
意識の基本,意识的基本,意识的基础
リズミカル,有节奏感的,节奏感
えいえいおー,加油,加油鼓劲
幸せのおまじない,幸福的魔法,幸福的咒语
ワクワクが止まらない,兴奋止不住,兴奋不止
ひなたぼっこ,晒太阳,日光浴
ふれあい,接触,互动
止められない想い,无法停止的思念,无法抑制的心意
ファンシーチャーム,幻想魅力,精致魅力
星屑センセーション,星屑感动,星屑轰动
虹色ドリーマー,彩虹梦境,虹色梦想家
こうかい……？,后悔……？,是这样吗……？
ディテールが肝心,细节很重要,细节是关键
お泊り猛勉強,一起过夜的猛学习,留宿特训
その本、おもしろい？,那本书，有意思吗？,那本书，有趣吗？
挨拶の基本,问候的基本,打招呼的基础
ジャストアピール,正好诉求,魅力刚刚好
せーのっ！,预备，齐心协力!,预备——起！
始まりの笑顔,初始的笑容,开始的笑容
トレーニングの成果,训练成果,锻炼的成果
アッチェレランド,加速乐章,速度渐快
トレンドリーダー,时尚领袖,潮流领袖
心・技・体,心·技·体,心・技・体
翔び立て！,起飞！,飞翔吧！
学園一のアイドル,校园第一偶像,学园第一的偶像
アイドルにしてくれた,成了偶像,让我成为了偶像
受け取ってくれる？,能接受吗？,能收下吗？
がんばった、よ,加油啊,努力了，哦
頬張る3色,大口吃三色,鼓起脸颊的三色
おてつき注意！,小心碰硬！,小心手滑！
放課後おしゃべり,放学后的闲聊,放学后闲谈
メントレの基本,指导的基本,心理训练的基础
イメージの基本,印象的基本,想象的基础
涙の思い出,泪水的回忆,落泪的回忆
嬉しい誤算,开心的误算,意外惊喜
忍耐力,耐力,忍耐力
一心不乱,心无旁骛,一心不乱
頂点へ,到顶,去往顶点
愛情レインボー,爱情彩虹,爱意彩虹
小さなお客さん,小客人,小小客人
